FileName	Title
2008missiles_thumb.jpg	The Missile Launcher Vanishes
2008jumpshark_thumb.jpg	Jumping Shark
2008foxnews_thumb.jpg	Fox Airs Faux Photos
2008woods_thumb.jpg	M.C. Escher Golf
2007valkyrie_thumb.jpg	Cruise vs. von Stauffenberg
2008nothumb_thumb.jpg	Hand with no thumb
2008oilrig_thumb.jpg	Not What You Want To See
2008heston_thumb.jpg	Charlton Hestons Home Gun Collection
2008obamasmoke_thumb.jpg	Barack Obama Smoking
2008hrbacek_thumb.jpg	Vote for Dean Hrbacek
2007papertiger_thumb.jpg	Paper Tiger
2007sarkozy_thumb.jpg	Sarkozys Disappearing Love Handles
2006frenchdinner_thumb.jpg	The French Dinner
2007armedforces_thumb.jpg	Suicidal Teens Welcome
2007wienermobile.jpg	Oscar Mayer Wiener Jet
2007hercules_thumb.jpg	Hercules, the Worlds Biggest Dog
2006couric_thumb.jpg	Katie Couric Slimmed Down
2006beirut_thumb.jpg	Fake Smoke Over Beirut
2006railway_thumb.jpg	Qinghai-Tibet railway opens green passage for wildlife
2005royalfamily_thumb.jpg	Holiday Greetings, from Spains Royal Family
2005bushrubik_thumb.jpg	I can promise, this will never get done
2005migrantmom_thumb.jpg	Migrant Mother Makeover
2005marthastewart_thumb.jpg	Marthas Last Laugh
2005hostage_thumb.jpg	Islamic Hostage Action-Figure Hoax
2004tsunami_thumb.jpg	Tsunami Seen From a High-Rise
